,country,ccode,verified,year,month,day,source,mcgowan,csp,bs,banks,moreno,finer,janowitz,kennedy,ferguson,okane,thompson,luttwak,lunde,world_hand,combined,no_evidence,rebellion,no_overt,legal,no_exec,protest,autogolpe,assasination,invasion,unclear,id
18,Haiti,41,,1950,-9,-9,"New York Times. May 11, 1950. p. 12",,,2,2,,,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,18
19,Haiti,41,,1950,5,-9,"New York Times. May 11, 1950. p. 12",,,,,,,2,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,19
20,Haiti,41,2,1950,5,10,"New York Times. May 11, 1950. p. 12",,,2,2,2,,2,,2,2,2,,,2,0,0,0,0,0,0,0,0,0,0,0,20
21,Haiti,41,,1950,5,11,"New York Times. May 11, 1950. p. 12",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,21
22,Haiti,41,,1950,10,3,http://countrystudies.us/haiti/16.htm,,,,,,,,,,,,2,,,0,0,0,0,1,0,0,0,0,0,0,22
150,Honduras,91,,1950,9,15,"New York Times. Sep 15, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,150
229,Nicaragua,93,,1950,5,14,"New York Times. May 14, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,229
257,Costa Rica,94,,1950,8,13,"New York Times. Aug 13, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,257
311,Venezuela,101,,1950,-9,-9,"New York Times. Nov 14, 1950",,,,,,,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,311
312,Venezuela,101,,1950,11,11,"New York Times. Nov 14, 1950",,,,,,,,,1,,,1,,1,0,0,0,0,0,0,0,0,1,0,0,312
377,Ecuador,130,,1950,6,30,"New York Times. Jun 30, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,377
378,Ecuador,130,,1950,7,15,"New York Times. Jul 16, 1950",,,,,,,,,,,1,,,,0,0,1,0,0,0,0,0,0,0,0,378
424,Peru,135,,1950,6,14,"New York Times. Jun 15, 1950",,,,,,,,,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,424
425,Peru,135,,1950,6,15,"New York Times. Jun 15, 1950",,,,,1,,,,,,1,,,,0,0,1,0,0,0,0,0,0,0,0,425
472,Bolivia,145,,1950,-9,-9,"New York Times. July 23, 1950",,,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,472
473,Bolivia,145,,1950,1,15,"New York Times. Jan 15, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,473
474,Bolivia,145,,1950,3,18,"New York Times. Mar 18, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,474
475,Bolivia,145,,1950,3,27,"New York Times. Mar 27, 1950",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,475
476,Bolivia,145,,1950,5,21,"New York Times. May 21, 1950",,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,476
477,Bolivia,145,1,1950,7,22,"New York Times. July 23, 1950",,,1,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0,477
